@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}

@data
104,'2018/05/21 00:14:45:089',3,1907,999,907,1
105,'2018/05/21 00:14:45:135',3,1906,997,905,1
106,'2018/05/21 00:14:45:190',3,1912,997,908,1
107,'2018/05/21 00:14:45:195',3,1925,1001,911,1
108,'2018/05/21 00:14:45:271',3,1946,1006,913,1
109,'2018/05/21 00:14:45:335',3,1960,1028,917,1
110,'2018/05/21 00:14:45:335',3,1975,1041,921,1
111,'2018/05/21 00:14:45:408',3,1982,1055,919,1
112,'2018/05/21 00:14:45:409',3,1957,1057,919,1
113,'2018/05/21 00:14:45:467',3,1949,1047,919,1
114,'2018/05/21 00:14:45:537',3,1935,1024,917,1
115,'2018/05/21 00:14:45:537',3,1930,1007,920,1
116,'2018/05/21 00:14:45:592',3,1929,999,914,1
117,'2018/05/21 00:14:45:659',3,1930,998,915,1
118,'2018/05/21 00:14:45:659',3,1934,999,914,1
119,'2018/05/21 00:14:45:717',3,1953,1004,917,1
120,'2018/05/21 00:14:45:789',3,1961,1016,918,1
121,'2018/05/21 00:14:45:789',3,1974,1030,925,1
122,'2018/05/21 00:14:45:866',3,1994,1041,928,1
123,'2018/05/21 00:14:45:934',3,1994,1073,935,1
124,'2018/05/21 00:14:45:934',3,1999,1084,939,1
125,'2018/05/21 00:14:45:989',3,2003,1084,937,1
126,'2018/05/21 00:14:46:055',3,2010,1072,935,1
127,'2018/05/21 00:14:46:055',3,2011,1051,930,1
128,'2018/05/21 00:14:46:119',3,2014,1040,929,1
129,'2018/05/21 00:14:46:188',3,2011,1039,924,1
130,'2018/05/21 00:14:46:188',3,2008,1040,922,1
131,'2018/05/21 00:14:46:241',3,2016,1044,917,1
132,'2018/05/21 00:14:46:293',3,2025,1048,915,1
133,'2018/05/21 00:14:46:358',3,2022,1065,917,1
134,'2018/05/21 00:14:46:358',3,2024,1075,918,1
135,'2018/05/21 00:14:46:435',3,2027,1102,916,1
136,'2018/05/21 00:14:46:502',3,2021,1121,917,1
137,'2018/05/21 00:14:46:503',3,2025,1129,916,1
138,'2018/05/21 00:14:46:552',3,2019,1126,914,1
139,'2018/05/21 00:14:46:612',3,2005,1115,916,1
140,'2018/05/21 00:14:46:613',3,1988,1100,914,1
141,'2018/05/21 00:14:46:679',3,1969,1068,908,1
142,'2018/05/21 00:14:46:736',3,1940,1045,906,1
143,'2018/05/21 00:14:46:790',3,1936,1014,902,1
144,'2018/05/21 00:14:46:790',3,1919,1002,897,1
145,'2018/05/21 00:14:46:845',3,1918,987,899,1
146,'2018/05/21 00:14:46:922',3,1910,985,900,1
147,'2018/05/21 00:14:46:922',3,1891,980,900,1
148,'2018/05/21 00:14:46:970',3,1867,974,900,1
149,'2018/05/21 00:14:47:068',3,1860,967,897,1
150,'2018/05/21 00:14:47:068',3,1846,965,894,1
151,'2018/05/21 00:14:47:132',3,1843,964,897,1
152,'2018/05/21 00:14:47:132',3,1849,967,897,1
153,'2018/05/21 00:14:47:205',3,1872,972,899,1
154,'2018/05/21 00:14:47:251',3,1886,983,901,1
155,'2018/05/21 00:14:47:324',3,1878,993,899,1
156,'2018/05/21 00:14:47:324',3,1872,990,898,1
157,'2018/05/21 00:14:47:371',3,1872,986,899,1
158,'2018/05/21 00:14:47:439',3,1874,986,899,1
159,'2018/05/21 00:14:47:440',3,1870,987,899,1
160,'2018/05/21 00:14:47:492',3,1872,987,904,1
161,'2018/05/21 00:14:47:545',3,1872,988,902,1
162,'2018/05/21 00:14:47:554',3,1867,986,901,1
163,'2018/05/21 00:14:47:623',3,1872,986,901,1
164,'2018/05/21 00:14:47:675',3,1878,984,899,1
165,'2018/05/21 00:14:47:688',3,1874,984,904,1
166,'2018/05/21 00:14:47:765',3,1873,983,905,1
167,'2018/05/21 00:14:47:772',3,1872,984,902,1
168,'2018/05/21 00:14:47:824',3,1870,982,902,1
169,'2018/05/21 00:14:57:984',4,1286,1818,912,2
170,'2018/05/21 00:14:58:040',4,1284,1814,914,2
171,'2018/05/21 00:14:58:040',4,1282,1815,912,2
172,'2018/05/21 00:14:58:106',4,1276,1812,912,2
173,'2018/05/21 00:14:58:149',4,1273,1809,913,2
174,'2018/05/21 00:14:58:212',4,1271,1809,911,2
175,'2018/05/21 00:14:58:212',4,1270,1806,912,2
176,'2018/05/21 00:14:58:276',4,1266,1799,911,2
177,'2018/05/21 00:14:58:288',4,1268,1798,909,2
178,'2018/05/21 00:14:58:343',4,1266,1798,909,2
179,'2018/05/21 00:14:58:411',4,1267,1796,910,2
180,'2018/05/21 00:14:58:416',4,1267,1798,907,2
181,'2018/05/21 00:14:58:470',4,1265,1799,908,2
182,'2018/05/21 00:14:58:522',4,1264,1801,908,2
183,'2018/05/21 00:14:58:579',4,1269,1808,907,2
184,'2018/05/21 00:14:58:587',4,1272,1818,907,2
185,'2018/05/21 00:14:58:645',4,1277,1812,909,2
186,'2018/05/21 00:14:58:707',4,1278,1805,904,2
187,'2018/05/21 00:14:58:767',4,1293,1802,903,2
188,'2018/05/21 00:14:58:767',4,1297,1830,903,2
189,'2018/05/21 00:14:58:818',4,1293,1826,903,2
190,'2018/05/21 00:14:58:881',4,1293,1825,903,2
191,'2018/05/21 00:14:58:950',4,1294,1828,902,2
192,'2018/05/21 00:14:58:950',4,1289,1829,903,2
193,'2018/05/21 00:14:59:009',4,1282,1846,903,2
194,'2018/05/21 00:14:59:072',4,1281,1841,902,2
195,'2018/05/21 00:14:59:072',4,1282,1825,899,2
196,'2018/05/21 00:14:59:129',4,1279,1812,901,2
197,'2018/05/21 00:14:59:203',4,1274,1809,900,2
198,'2018/05/21 00:14:59:203',4,1267,1767,899,2
199,'2018/05/21 00:14:59:252',4,1262,1748,901,2
200,'2018/05/21 00:14:59:323',4,1260,1719,900,2
201,'2018/05/21 00:14:59:367',4,1259,1713,899,2
202,'2018/05/21 00:14:59:368',4,1258,1721,898,2
203,'2018/05/21 00:14:59:438',4,1260,1738,900,2
204,'2018/05/21 00:14:59:484',4,1259,1748,900,2
205,'2018/05/21 00:14:59:545',4,1261,1751,902,2
206,'2018/05/21 00:14:59:546',4,1261,1756,900,2
207,'2018/05/21 00:14:59:607',4,1261,1771,901,2
208,'2018/05/21 00:14:59:657',4,1261,1767,900,2
209,'2018/05/21 00:14:59:703',4,1260,1757,900,2
210,'2018/05/21 00:14:59:708',4,1264,1768,901,2
211,'2018/05/21 00:14:59:783',4,1259,1766,901,2
212,'2018/05/21 00:14:59:857',4,1259,1752,902,2
213,'2018/05/21 00:14:59:857',4,1261,1739,901,2
214,'2018/05/21 00:14:59:907',4,1262,1736,902,2
215,'2018/05/21 00:14:59:973',4,1264,1729,902,2
216,'2018/05/21 00:14:59:974',4,1265,1728,901,2
217,'2018/05/21 00:15:00:048',4,1264,1722,900,2
218,'2018/05/21 00:15:00:059',4,1263,1718,902,2
219,'2018/05/21 00:15:00:127',4,1264,1720,901,2
220,'2018/05/21 00:15:00:139',4,1262,1719,901,2
221,'2018/05/21 00:15:00:209',4,1264,1714,901,2
222,'2018/05/21 00:15:00:257',4,1265,1714,899,2
223,'2018/05/21 00:15:00:301',4,1271,1741,902,2
224,'2018/05/21 00:15:00:362',4,1274,1785,904,2
