@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}

@data
442,'2018/05/21 00:15:15:747',5,1322,1016,1582,3
443,'2018/05/21 00:15:15:747',5,1317,997,1586,3
444,'2018/05/21 00:15:15:819',5,1314,986,1588,3
445,'2018/05/21 00:15:15:865',5,1315,975,1589,3
446,'2018/05/21 00:15:15:933',5,1308,968,1589,3
447,'2018/05/21 00:15:15:934',5,1312,964,1589,3
448,'2018/05/21 00:15:15:984',5,1313,972,1582,3
449,'2018/05/21 00:15:16:046',5,1307,965,1589,3
450,'2018/05/21 00:15:16:046',5,1310,960,1593,3
451,'2018/05/21 00:15:16:121',5,1320,975,1587,3
452,'2018/05/21 00:15:16:186',5,1315,992,1588,3
453,'2018/05/21 00:15:16:186',5,1315,988,1586,3
454,'2018/05/21 00:15:16:246',5,1316,989,1580,3
455,'2018/05/21 00:15:16:322',5,1315,989,1585,3
456,'2018/05/21 00:15:16:322',5,1313,990,1588,3
457,'2018/05/21 00:15:16:369',5,1313,992,1587,3
458,'2018/05/21 00:15:16:436',5,1312,1007,1586,3
459,'2018/05/21 00:15:16:436',5,1323,999,1581,3
460,'2018/05/21 00:15:16:499',5,1341,996,1576,3
461,'2018/05/21 00:15:16:569',5,1357,995,1579,3
462,'2018/05/21 00:15:16:569',5,1362,998,1581,3
463,'2018/05/21 00:15:16:635',5,1350,1003,1580,3
464,'2018/05/21 00:15:16:701',5,1353,1006,1586,3
465,'2018/05/21 00:15:16:701',5,1354,1005,1576,3
466,'2018/05/21 00:15:16:755',5,1341,1007,1572,3
467,'2018/05/21 00:15:16:820',5,1344,1006,1571,3
468,'2018/05/21 00:15:16:886',5,1361,1003,1578,3
469,'2018/05/21 00:15:16:887',5,1365,1008,1579,3
470,'2018/05/21 00:15:16:958',5,1362,1009,1585,3
471,'2018/05/21 00:15:16:958',5,1351,1009,1578,3
472,'2018/05/21 00:15:17:037',5,1354,997,1578,3
473,'2018/05/21 00:15:17:082',5,1347,988,1575,3
474,'2018/05/21 00:15:17:082',5,1342,975,1587,3
475,'2018/05/21 00:15:17:153',5,1339,972,1590,3
476,'2018/05/21 00:15:17:232',5,1330,963,1600,3
477,'2018/05/21 00:15:17:232',5,1325,954,1602,3
478,'2018/05/21 00:15:17:282',5,1316,946,1596,3
479,'2018/05/21 00:15:17:336',5,1300,940,1592,3
480,'2018/05/21 00:15:17:407',5,1293,941,1579,3
481,'2018/05/21 00:15:17:475',5,1295,933,1582,3
482,'2018/05/21 00:15:17:475',5,1294,923,1585,3
483,'2018/05/21 00:15:17:475',5,1295,917,1588,3
484,'2018/05/21 00:15:17:554',5,1287,913,1586,3
485,'2018/05/21 00:15:17:605',5,1281,911,1589,3
486,'2018/05/21 00:15:17:605',5,1281,911,1588,3
487,'2018/05/21 00:15:17:762',5,1283,915,1588,3
488,'2018/05/21 00:15:17:763',5,1293,919,1627,3
489,'2018/05/21 00:15:17:763',5,1295,926,1659,3
490,'2018/05/21 00:15:17:822',5,1301,937,1660,3
491,'2018/05/21 00:15:17:822',5,1304,946,1650,3
492,'2018/05/21 00:15:17:901',5,1324,955,1647,3
493,'2018/05/21 00:15:18:013',5,1341,986,1682,3
494,'2018/05/21 00:15:18:013',5,1353,1031,1798,3
495,'2018/05/21 00:15:18:013',5,1356,1065,1839,3
496,'2018/05/21 00:15:18:063',5,1346,1060,1809,3
497,'2018/05/21 00:15:18:135',5,1337,1044,1764,3
498,'2018/05/21 00:15:18:135',5,1338,1026,1720,3
499,'2018/05/21 00:15:18:204',5,1338,1011,1680,3
500,'2018/05/21 00:15:18:204',5,1341,1004,1665,3
501,'2018/05/21 00:15:18:275',5,1345,1004,1658,3
502,'2018/05/21 00:15:18:351',5,1350,1013,1674,3
503,'2018/05/21 00:15:18:351',5,1354,1029,1709,3
504,'2018/05/21 00:15:18:400',5,1353,1037,1731,3
505,'2018/05/21 00:15:18:471',5,1354,1036,1734,3
506,'2018/05/21 00:15:18:471',5,1353,1031,1725,3
507,'2018/05/21 00:15:18:523',5,1351,1031,1725,3
508,'2018/05/21 00:15:18:571',5,1346,1028,1715,3
509,'2018/05/21 00:15:18:641',5,1345,1025,1710,3
510,'2018/05/21 00:15:18:642',5,1340,1024,1705,3
511,'2018/05/21 00:15:18:714',5,1336,1021,1722,3
512,'2018/05/21 00:15:18:718',5,1337,1021,1775,3
513,'2018/05/21 00:15:18:768',5,1335,1027,1809,3
514,'2018/05/21 00:15:18:836',5,1336,1027,1819,3
515,'2018/05/21 00:15:18:902',5,1330,1028,1823,3
516,'2018/05/21 00:15:18:902',5,1326,1029,1833,3
517,'2018/05/21 00:15:18:971',5,1321,1029,1814,3
518,'2018/05/21 00:15:19:029',5,1324,1031,1794,3
519,'2018/05/21 00:15:19:029',5,1323,1035,1780,3
520,'2018/05/21 00:15:19:103',5,1330,1033,1775,3
521,'2018/05/21 00:15:19:167',5,1329,1033,1770,3
522,'2018/05/21 00:15:19:167',5,1327,1032,1766,3
523,'2018/05/21 00:15:19:237',5,1322,1031,1766,3
524,'2018/05/21 00:15:19:302',5,1319,1028,1763,3
525,'2018/05/21 00:15:19:302',5,1318,1025,1757,3
526,'2018/05/21 00:15:19:371',5,1317,1023,1761,3
527,'2018/05/21 00:15:19:371',5,1319,1022,1762,3
528,'2018/05/21 00:15:19:439',5,1317,1021,1758,3
529,'2018/05/21 00:15:19:449',5,1317,1021,1761,3
530,'2018/05/21 00:15:19:521',5,1318,1022,1753,3
531,'2018/05/21 00:15:19:597',5,1321,1020,1750,3
532,'2018/05/21 00:15:19:597',5,1321,1018,1747,3
533,'2018/05/21 00:15:19:667',5,1323,1019,1748,3
534,'2018/05/21 00:15:19:667',5,1318,1019,1745,3
535,'2018/05/21 00:15:19:734',5,1320,1020,1747,3
536,'2018/05/21 00:15:19:790',5,1322,1027,1737,3
537,'2018/05/21 00:15:19:837',5,1321,1025,1736,3
538,'2018/05/21 00:15:19:904',5,1326,1022,1730,3
539,'2018/05/21 00:15:19:904',5,1326,1035,1720,3
540,'2018/05/21 00:15:19:958',5,1327,1037,1719,3
541,'2018/05/21 00:15:20:021',5,1327,1044,1723,3
542,'2018/05/21 00:15:20:022',5,1330,1055,1710,3
543,'2018/05/21 00:15:20:090',5,1328,1066,1706,3
544,'2018/05/21 00:15:20:139',5,1333,1071,1704,3
545,'2018/05/21 00:15:20:140',5,1334,1075,1692,3
546,'2018/05/21 00:15:20:195',5,1332,1074,1691,3
547,'2018/05/21 00:15:20:271',5,1334,1072,1691,3
548,'2018/05/21 00:15:20:318',5,1334,1054,1710,3
549,'2018/05/21 00:15:20:318',5,1328,1044,1718,3
550,'2018/05/21 00:15:20:390',5,1331,1039,1714,3
551,'2018/05/21 00:15:20:435',5,1332,1034,1706,3
552,'2018/05/21 00:15:20:505',5,1332,1028,1712,3
553,'2018/05/21 00:15:20:505',5,1333,1029,1711,3
554,'2018/05/21 00:15:20:560',5,1328,1028,1713,3
555,'2018/05/21 00:15:20:627',5,1329,1028,1712,3
556,'2018/05/21 00:15:20:627',5,1328,1029,1700,3
557,'2018/05/21 00:15:20:694',5,1331,1027,1691,3
558,'2018/05/21 00:15:20:701',5,1330,1026,1684,3
559,'2018/05/21 00:15:20:774',5,1333,1025,1689,3
560,'2018/05/21 00:15:20:832',5,1332,1027,1688,3
561,'2018/05/21 00:15:20:832',5,1336,1028,1699,3
562,'2018/05/21 00:15:20:894',5,1340,1030,1695,3
563,'2018/05/21 00:15:20:971',5,1333,1027,1682,3
564,'2018/05/21 00:15:20:971',5,1334,1019,1663,3
565,'2018/05/21 00:15:21:021',5,1332,1015,1651,3
566,'2018/05/21 00:15:21:089',5,1331,1013,1645,3
567,'2018/05/21 00:15:21:089',5,1328,1007,1643,3
568,'2018/05/21 00:15:21:153',5,1327,999,1643,3
569,'2018/05/21 00:15:21:212',5,1322,1002,1639,3
570,'2018/05/21 00:15:21:217',5,1321,1005,1642,3
571,'2018/05/21 00:15:21:276',5,1309,994,1637,3
572,'2018/05/21 00:15:21:374',5,1297,964,1656,3
573,'2018/05/21 00:15:21:374',5,1290,947,1672,3
574,'2018/05/21 00:15:21:422',5,1283,943,1684,3
575,'2018/05/21 00:15:21:491',5,1277,944,1683,3
576,'2018/05/21 00:15:21:491',5,1276,942,1682,3
577,'2018/05/21 00:15:21:604',5,1274,944,1684,3
578,'2018/05/21 00:15:21:604',5,1273,941,1687,3
579,'2018/05/21 00:15:21:669',5,1274,937,1693,3
580,'2018/05/21 00:15:21:669',5,1268,937,1688,3
581,'2018/05/21 00:15:21:740',5,1264,933,1690,3
582,'2018/05/21 00:15:21:740',5,1262,930,1674,3
583,'2018/05/21 00:15:21:792',5,1267,926,1666,3
584,'2018/05/21 00:15:21:846',5,1267,926,1667,3
585,'2018/05/21 00:15:21:922',5,1269,928,1713,3
586,'2018/05/21 00:15:21:922',5,1268,932,1739,3
587,'2018/05/21 00:15:21:995',5,1268,933,1744,3
588,'2018/05/21 00:15:22:058',5,1273,930,1744,3
589,'2018/05/21 00:15:22:058',5,1276,935,1739,3
590,'2018/05/21 00:15:22:140',5,1279,942,1724,3
591,'2018/05/21 00:15:22:141',5,1276,951,1725,3
592,'2018/05/21 00:15:22:191',5,1279,964,1725,3
593,'2018/05/21 00:15:22:262',5,1276,969,1734,3
594,'2018/05/21 00:15:22:262',5,1279,973,1761,3
595,'2018/05/21 00:15:22:342',5,1282,983,1776,3
596,'2018/05/21 00:15:22:342',5,1281,997,1781,3
597,'2018/05/21 00:15:22:395',5,1287,1008,1786,3
598,'2018/05/21 00:15:22:459',5,1289,1021,1788,3
599,'2018/05/21 00:15:22:526',5,1285,1016,1789,3
600,'2018/05/21 00:15:22:526',5,1281,1010,1799,3
601,'2018/05/21 00:15:22:585',5,1277,1000,1795,3
602,'2018/05/21 00:15:22:638',5,1267,990,1810,3
603,'2018/05/21 00:15:22:720',5,1268,966,1819,3
604,'2018/05/21 00:15:22:720',5,1268,957,1821,3
605,'2018/05/21 00:15:22:760',5,1265,952,1836,3
606,'2018/05/21 00:15:22:772',5,1262,950,1857,3
607,'2018/05/21 00:15:22:841',5,1258,945,1846,3
608,'2018/05/21 00:15:22:910',5,1253,938,1844,3
609,'2018/05/21 00:15:22:910',5,1253,936,1847,3
610,'2018/05/21 00:15:22:986',5,1250,938,1837,3
611,'2018/05/21 00:15:22:986',5,1251,938,1833,3
612,'2018/05/21 00:15:23:070',5,1255,946,1834,3
613,'2018/05/21 00:15:23:123',5,1251,951,1833,3
614,'2018/05/21 00:15:23:123',5,1247,951,1829,3
615,'2018/05/21 00:15:23:190',5,1250,942,1828,3
616,'2018/05/21 00:15:23:257',5,1251,937,1821,3
617,'2018/05/21 00:15:23:257',5,1251,930,1826,3
618,'2018/05/21 00:15:23:328',5,1253,928,1827,3
619,'2018/05/21 00:15:23:333',5,1251,928,1827,3
620,'2018/05/21 00:15:23:408',5,1251,930,1834,3
621,'2018/05/21 00:15:23:469',5,1249,932,1827,3
622,'2018/05/21 00:15:23:469',5,1252,932,1824,3
623,'2018/05/21 00:15:23:524',5,1252,933,1818,3
624,'2018/05/21 00:15:23:607',5,1253,937,1828,3
625,'2018/05/21 00:15:23:607',5,1257,942,1826,3
626,'2018/05/21 00:15:23:674',5,1253,943,1823,3
627,'2018/05/21 00:15:23:744',5,1254,943,1818,3
628,'2018/05/21 00:15:23:744',5,1252,939,1815,3
629,'2018/05/21 00:15:38:344',6,1268,1739,1782,4
630,'2018/05/21 00:15:38:344',6,1274,1740,1789,4
631,'2018/05/21 00:15:38:416',6,1279,1739,1780,4
632,'2018/05/21 00:15:38:416',6,1286,1743,1767,4
633,'2018/05/21 00:15:38:462',6,1290,1733,1739,4
634,'2018/05/21 00:15:38:534',6,1287,1733,1704,4
635,'2018/05/21 00:15:38:581',6,1286,1726,1683,4
636,'2018/05/21 00:15:38:648',6,1285,1735,1640,4
637,'2018/05/21 00:15:38:649',6,1286,1730,1603,4
638,'2018/05/21 00:15:38:706',6,1285,1727,1598,4
639,'2018/05/21 00:15:38:782',6,1288,1733,1630,4
640,'2018/05/21 00:15:38:828',6,1287,1732,1648,4
641,'2018/05/21 00:15:38:828',6,1292,1726,1657,4
642,'2018/05/21 00:15:38:888',6,1297,1732,1662,4
643,'2018/05/21 00:15:38:896',6,1300,1711,1682,4
644,'2018/05/21 00:15:39:016',6,1308,1688,1720,4
645,'2018/05/21 00:15:39:046',6,1308,1688,1743,4
646,'2018/05/21 00:15:39:046',6,1312,1686,1758,4
647,'2018/05/21 00:15:39:092',6,1310,1691,1762,4
648,'2018/05/21 00:15:39:141',6,1309,1688,1745,4
649,'2018/05/21 00:15:39:150',6,1304,1690,1737,4
650,'2018/05/21 00:15:39:219',6,1304,1697,1727,4
651,'2018/05/21 00:15:39:289',6,1301,1704,1723,4
652,'2018/05/21 00:15:39:289',6,1302,1710,1728,4
653,'2018/05/21 00:15:39:367',6,1306,1725,1738,4
654,'2018/05/21 00:15:39:411',6,1303,1737,1745,4
655,'2018/05/21 00:15:39:411',6,1300,1737,1754,4
656,'2018/05/21 00:15:39:483',6,1298,1738,1750,4
657,'2018/05/21 00:15:39:547',6,1298,1739,1749,4
658,'2018/05/21 00:15:39:547',6,1298,1737,1751,4
659,'2018/05/21 00:15:39:617',6,1301,1741,1752,4
660,'2018/05/21 00:15:39:667',6,1298,1739,1749,4
661,'2018/05/21 00:15:39:668',6,1295,1737,1752,4
662,'2018/05/21 00:15:39:717',6,1294,1737,1744,4
663,'2018/05/21 00:15:39:775',6,1291,1735,1745,4
664,'2018/05/21 00:15:39:848',6,1289,1732,1744,4
665,'2018/05/21 00:15:39:848',6,1291,1735,1741,4
666,'2018/05/21 00:15:39:920',6,1288,1737,1742,4
667,'2018/05/21 00:15:39:967',6,1288,1735,1746,4
668,'2018/05/21 00:15:40:037',6,1288,1742,1741,4
669,'2018/05/21 00:15:40:037',6,1284,1738,1743,4
670,'2018/05/21 00:15:40:108',6,1284,1737,1742,4
671,'2018/05/21 00:15:40:108',6,1280,1734,1737,4
672,'2018/05/21 00:15:40:189',6,1277,1732,1740,4
673,'2018/05/21 00:15:40:260',6,1273,1729,1739,4
674,'2018/05/21 00:15:40:260',6,1270,1725,1739,4
675,'2018/05/21 00:15:40:330',6,1266,1720,1735,4
676,'2018/05/21 00:15:40:330',6,1268,1710,1726,4
677,'2018/05/21 00:15:40:383',6,1266,1707,1715,4
678,'2018/05/21 00:15:40:453',6,1268,1701,1717,4
679,'2018/05/21 00:15:40:453',6,1270,1706,1716,4
680,'2018/05/21 00:15:40:508',6,1268,1706,1718,4
681,'2018/05/21 00:15:40:586',6,1269,1706,1721,4
682,'2018/05/21 00:15:40:586',6,1270,1706,1715,4
683,'2018/05/21 00:15:40:655',6,1268,1702,1708,4
684,'2018/05/21 00:15:40:729',6,1270,1698,1712,4
685,'2018/05/21 00:15:40:729',6,1272,1700,1714,4
686,'2018/05/21 00:15:40:797',6,1269,1699,1713,4
687,'2018/05/21 00:15:40:798',6,1267,1697,1717,4
688,'2018/05/21 00:15:40:851',6,1268,1699,1711,4
689,'2018/05/21 00:15:40:919',6,1266,1695,1708,4
690,'2018/05/21 00:15:40:919',6,1267,1692,1709,4
691,'2018/05/21 00:15:40:967',6,1279,1686,1708,4
692,'2018/05/21 00:15:41:033',6,1326,1686,1711,4
693,'2018/05/21 00:15:41:104',6,1404,1684,1716,4
694,'2018/05/21 00:15:41:104',6,1420,1688,1708,4
695,'2018/05/21 00:15:41:171',6,1418,1681,1707,4
696,'2018/05/21 00:15:41:237',6,1398,1679,1706,4
697,'2018/05/21 00:15:41:238',6,1391,1677,1700,4
698,'2018/05/21 00:15:41:321',6,1391,1673,1703,4
699,'2018/05/21 00:15:41:321',6,1377,1670,1710,4
700,'2018/05/21 00:15:41:373',6,1348,1669,1705,4
701,'2018/05/21 00:15:41:425',6,1359,1667,1700,4
702,'2018/05/21 00:15:41:432',6,1371,1663,1701,4
703,'2018/05/21 00:15:41:506',6,1377,1663,1692,4
704,'2018/05/21 00:15:41:563',6,1376,1662,1698,4
705,'2018/05/21 00:15:41:569',6,1375,1660,1697,4
706,'2018/05/21 00:15:41:656',6,1376,1663,1699,4
707,'2018/05/21 00:15:41:656',6,1376,1666,1694,4
708,'2018/05/21 00:15:41:739',6,1393,1662,1694,4
709,'2018/05/21 00:15:41:739',6,1431,1662,1690,4
710,'2018/05/21 00:15:41:814',6,1443,1659,1682,4
711,'2018/05/21 00:15:41:820',6,1425,1661,1689,4
712,'2018/05/21 00:15:41:894',6,1405,1670,1691,4
713,'2018/05/21 00:15:41:969',6,1400,1674,1691,4
714,'2018/05/21 00:15:41:969',6,1412,1673,1681,4
715,'2018/05/21 00:15:42:031',6,1407,1670,1672,4
716,'2018/05/21 00:15:42:035',6,1403,1662,1657,4
717,'2018/05/21 00:15:42:093',6,1401,1661,1659,4
718,'2018/05/21 00:15:42:171',6,1417,1663,1658,4
719,'2018/05/21 00:15:42:171',6,1437,1658,1655,4
720,'2018/05/21 00:15:42:223',6,1444,1659,1655,4
721,'2018/05/21 00:15:42:277',6,1440,1658,1647,4
722,'2018/05/21 00:15:42:352',6,1426,1658,1640,4
723,'2018/05/21 00:15:42:352',6,1435,1652,1644,4
724,'2018/05/21 00:15:42:417',6,1441,1662,1652,4
725,'2018/05/21 00:15:42:484',6,1451,1663,1655,4
726,'2018/05/21 00:15:42:484',6,1446,1671,1664,4
727,'2018/05/21 00:15:42:540',6,1446,1674,1662,4
728,'2018/05/21 00:15:42:600',6,1436,1672,1661,4
729,'2018/05/21 00:15:42:601',6,1437,1670,1664,4
730,'2018/05/21 00:15:42:674',6,1437,1668,1665,4
731,'2018/05/21 00:15:42:756',6,1429,1668,1666,4
732,'2018/05/21 00:15:42:756',6,1424,1672,1674,4
733,'2018/05/21 00:15:42:814',6,1420,1676,1669,4
734,'2018/05/21 00:15:42:814',6,1415,1677,1672,4
735,'2018/05/21 00:15:42:888',6,1416,1694,1692,4
736,'2018/05/21 00:15:42:975',6,1411,1697,1704,4
737,'2018/05/21 00:15:42:975',6,1408,1685,1708,4
738,'2018/05/21 00:15:42:984',6,1401,1694,1719,4
739,'2018/05/21 00:15:43:052',6,1397,1690,1716,4
740,'2018/05/21 00:15:43:104',6,1392,1688,1707,4
741,'2018/05/21 00:15:43:178',6,1393,1686,1705,4
742,'2018/05/21 00:15:43:178',6,1392,1690,1699,4
743,'2018/05/21 00:15:43:245',6,1390,1692,1707,4
744,'2018/05/21 00:15:43:245',6,1393,1694,1708,4
745,'2018/05/21 00:15:43:319',6,1389,1694,1706,4
746,'2018/05/21 00:15:43:380',6,1388,1696,1708,4
747,'2018/05/21 00:15:43:380',6,1384,1694,1706,4
748,'2018/05/21 00:15:43:452',6,1386,1693,1704,4
749,'2018/05/21 00:15:43:517',6,1386,1691,1698,4
750,'2018/05/21 00:15:43:517',6,1386,1687,1703,4
751,'2018/05/21 00:15:43:589',6,1384,1690,1704,4
752,'2018/05/21 00:15:43:589',6,1384,1690,1706,4
753,'2018/05/21 00:15:43:638',6,1381,1689,1705,4
754,'2018/05/21 00:15:43:703',6,1384,1685,1701,4
755,'2018/05/21 00:15:43:773',6,1383,1685,1694,4
756,'2018/05/21 00:15:43:773',6,1383,1682,1699,4
757,'2018/05/21 00:15:43:856',6,1383,1685,1700,4
758,'2018/05/21 00:15:43:857',6,1381,1683,1703,4
759,'2018/05/21 00:15:52:561',7,1872,935,1703,5
760,'2018/05/21 00:15:52:561',7,1868,935,1703,5
761,'2018/05/21 00:15:52:609',7,1860,934,1706,5
762,'2018/05/21 00:15:52:676',7,1863,934,1700,5
763,'2018/05/21 00:15:52:722',7,1867,933,1696,5
764,'2018/05/21 00:15:52:725',7,1866,934,1696,5
765,'2018/05/21 00:15:52:782',7,1868,931,1699,5
766,'2018/05/21 00:15:52:851',7,1866,930,1702,5
767,'2018/05/21 00:15:52:861',7,1864,929,1705,5
768,'2018/05/21 00:15:52:908',7,1861,927,1706,5
769,'2018/05/21 00:15:52:965',7,1864,925,1702,5
770,'2018/05/21 00:15:53:041',7,1865,923,1699,5
771,'2018/05/21 00:15:53:041',7,1865,920,1703,5
772,'2018/05/21 00:15:53:109',7,1867,921,1706,5
773,'2018/05/21 00:15:53:174',7,1864,921,1714,5
774,'2018/05/21 00:15:53:174',7,1859,919,1723,5
775,'2018/05/21 00:15:53:226',7,1860,917,1723,5
776,'2018/05/21 00:15:53:280',7,1865,917,1718,5
777,'2018/05/21 00:15:53:291',7,1864,916,1714,5
778,'2018/05/21 00:15:53:351',7,1866,914,1718,5
779,'2018/05/21 00:15:53:413',7,1868,916,1717,5
780,'2018/05/21 00:15:53:421',7,1864,916,1717,5
781,'2018/05/21 00:15:53:477',7,1861,914,1717,5
782,'2018/05/21 00:15:53:537',7,1865,915,1715,5
783,'2018/05/21 00:15:53:544',7,1865,914,1711,5
784,'2018/05/21 00:15:53:645',7,1865,913,1717,5
785,'2018/05/21 00:15:53:645',7,1868,916,1715,5
786,'2018/05/21 00:15:53:710',7,1864,915,1717,5
787,'2018/05/21 00:15:53:791',7,1862,918,1717,5
788,'2018/05/21 00:15:53:791',7,1861,916,1715,5
789,'2018/05/21 00:15:53:843',7,1865,916,1711,5
790,'2018/05/21 00:15:53:899',7,1865,915,1707,5
791,'2018/05/21 00:15:53:899',7,1864,915,1713,5
792,'2018/05/21 00:15:53:976',7,1866,916,1713,5
793,'2018/05/21 00:15:53:976',7,1862,916,1713,5
794,'2018/05/21 00:15:54:039',7,1860,915,1711,5
795,'2018/05/21 00:15:54:106',7,1863,915,1711,5
796,'2018/05/21 00:15:54:106',7,1863,916,1705,5
797,'2018/05/21 00:15:54:174',7,1861,917,1711,5
798,'2018/05/21 00:15:54:247',7,1865,919,1709,5
799,'2018/05/21 00:15:54:247',7,1857,922,1713,5
800,'2018/05/21 00:15:54:315',7,1853,925,1708,5
801,'2018/05/21 00:15:54:320',7,1856,925,1708,5
802,'2018/05/21 00:15:54:376',7,1858,925,1705,5
803,'2018/05/21 00:15:54:434',7,1859,925,1704,5
804,'2018/05/21 00:15:54:513',7,1861,923,1710,5
805,'2018/05/21 00:15:54:513',7,1857,925,1712,5
806,'2018/05/21 00:15:54:575',7,1853,925,1715,5
807,'2018/05/21 00:15:54:617',7,1850,924,1714,5
808,'2018/05/21 00:15:54:622',7,1854,926,1709,5
809,'2018/05/21 00:15:54:685',7,1855,927,1706,5
810,'2018/05/21 00:15:54:759',7,1853,924,1707,5
811,'2018/05/21 00:15:54:759',7,1858,923,1711,5
812,'2018/05/21 00:15:54:827',7,1853,922,1711,5
813,'2018/05/21 00:15:54:876',7,1852,922,1717,5
814,'2018/05/21 00:15:54:933',7,1852,923,1709,5
815,'2018/05/21 00:15:54:934',7,1853,922,1703,5
816,'2018/05/21 00:15:55:000',7,1852,920,1706,5
817,'2018/05/21 00:15:55:010',7,1855,919,1709,5
818,'2018/05/21 00:15:55:072',7,1853,920,1709,5
819,'2018/05/21 00:15:55:144',7,1850,919,1714,5
820,'2018/05/21 00:15:55:144',7,1849,920,1713,5
821,'2018/05/21 00:15:55:194',7,1853,919,1706,5
822,'2018/05/21 00:15:55:249',7,1851,919,1704,5
823,'2018/05/21 00:15:55:313',7,1852,917,1706,5
824,'2018/05/21 00:15:55:313',7,1854,917,1706,5
825,'2018/05/21 00:15:55:372',7,1850,914,1706,5
826,'2018/05/21 00:15:55:420',7,1848,915,1711,5
827,'2018/05/21 00:15:55:493',7,1849,914,1707,5
828,'2018/05/21 00:15:55:493',7,1855,913,1705,5
829,'2018/05/21 00:15:55:560',7,1852,915,1714,5
830,'2018/05/21 00:15:55:606',7,1854,915,1718,5
831,'2018/05/21 00:15:55:664',7,1850,914,1716,5
832,'2018/05/21 00:15:55:664',7,1850,914,1720,5
833,'2018/05/21 00:15:55:754',7,1850,913,1714,5
834,'2018/05/21 00:15:55:754',7,1854,913,1713,5
835,'2018/05/21 00:15:55:811',7,1855,927,1703,5
836,'2018/05/21 00:15:55:866',7,1858,966,1707,5
837,'2018/05/21 00:15:55:930',7,1865,1019,1710,5
838,'2018/05/21 00:15:55:930',7,1865,1045,1709,5
839,'2018/05/21 00:15:55:989',7,1868,1069,1707,5
840,'2018/05/21 00:15:56:057',7,1868,1110,1696,5
841,'2018/05/21 00:15:56:057',7,1870,1111,1695,5
842,'2018/05/21 00:15:56:130',7,1869,1130,1695,5
843,'2018/05/21 00:15:56:178',7,1870,1137,1695,5
844,'2018/05/21 00:15:56:179',7,1865,1146,1695,5
845,'2018/05/21 00:15:56:233',7,1863,1145,1704,5
846,'2018/05/21 00:15:56:314',7,1862,1136,1701,5
847,'2018/05/21 00:15:56:314',7,1855,1130,1698,5
848,'2018/05/21 00:15:56:365',7,1858,1108,1700,5
849,'2018/05/21 00:15:56:418',7,1861,1101,1696,5
850,'2018/05/21 00:15:56:484',7,1862,1107,1696,5
851,'2018/05/21 00:15:56:484',7,1857,1133,1698,5
852,'2018/05/21 00:15:56:558',7,1852,1153,1697,5
853,'2018/05/21 00:15:56:562',7,1847,1155,1691,5
854,'2018/05/21 00:15:56:612',7,1846,1158,1687,5
855,'2018/05/21 00:15:56:671',7,1848,1177,1679,5
856,'2018/05/21 00:15:56:746',7,1850,1195,1687,5
857,'2018/05/21 00:15:56:746',7,1847,1202,1693,5
858,'2018/05/21 00:15:56:818',7,1845,1192,1706,5
859,'2018/05/21 00:15:56:824',7,1844,1181,1702,5
860,'2018/05/21 00:15:56:903',7,1841,1159,1699,5
861,'2018/05/21 00:15:56:905',7,1845,1143,1698,5
862,'2018/05/21 00:15:56:964',7,1844,1103,1699,5
863,'2018/05/21 00:15:57:032',7,1848,1050,1706,5
864,'2018/05/21 00:15:57:099',7,1838,984,1709,5
865,'2018/05/21 00:15:57:100',7,1837,903,1709,5
866,'2018/05/21 00:15:57:155',7,1834,896,1706,5
867,'2018/05/21 00:15:57:226',7,1836,899,1701,5
868,'2018/05/21 00:15:57:227',7,1838,893,1695,5
869,'2018/05/21 00:15:57:276',7,1839,886,1701,5
870,'2018/05/21 00:15:57:337',7,1840,886,1702,5
871,'2018/05/21 00:15:57:342',7,1839,883,1702,5
872,'2018/05/21 00:15:57:398',7,1842,894,1701,5
873,'2018/05/21 00:15:57:465',7,1849,924,1709,5
874,'2018/05/21 00:15:57:493',7,1854,961,1726,5
875,'2018/05/21 00:15:57:551',7,1864,964,1741,5
876,'2018/05/21 00:15:57:553',7,1875,975,1751,5
877,'2018/05/21 00:15:57:606',7,1875,980,1753,5
878,'2018/05/21 00:15:57:679',7,1882,977,1758,5
879,'2018/05/21 00:15:57:748',7,1891,975,1750,5
880,'2018/05/21 00:15:57:749',7,1906,979,1754,5
881,'2018/05/21 00:15:57:797',7,1904,987,1753,5
882,'2018/05/21 00:15:57:865',7,1910,992,1770,5
883,'2018/05/21 00:15:57:865',7,1912,998,1777,5
884,'2018/05/21 00:15:57:934',7,1905,1008,1789,5
885,'2018/05/21 00:15:57:942',7,1901,1016,1792,5
886,'2018/05/21 00:15:58:014',7,1898,1015,1785,5
887,'2018/05/21 00:15:58:086',7,1905,1003,1777,5
888,'2018/05/21 00:15:58:086',7,1904,1002,1781,5
889,'2018/05/21 00:15:58:160',7,1911,1006,1781,5
890,'2018/05/21 00:15:58:160',7,1914,1005,1780,5
891,'2018/05/21 00:15:58:212',7,1915,994,1789,5
892,'2018/05/21 00:15:58:281',7,1916,981,1778,5
893,'2018/05/21 00:15:58:328',7,1919,967,1775,5
894,'2018/05/21 00:15:58:391',7,1917,961,1775,5
